0.999,948.069,,,0.999,948.069
0.023,923.7,,,4.995,1047.493
4.995,1047.493,,,8.997,1163.62
0.064,917.283,,,12.997,1305.138
8.997,1163.62,,,16.997,1458.674
0.133,910.266,,,20.996,1623.342
12.997,1305.138,,,24.997,1769.066
0.199,902.862,,,28.997,1917.706
16.997,1458.674,,,32.995,2043.022
0.267,893.328,,,36.996,2146.737
20.996,1623.342,,,40.995,2226.468
0.319,881.285,,,44.995,2279.398
24.997,1769.066,,,48.996,2312.415
0.323,869.563,,,52.997,2338.708
28.997,1917.706,,,55.996,2334.941
0.44,857.613,,,51.997,2327.353
32.995,2043.022,,,47.996,2268.613
0.546,844.046,,,43.995,2159.659
36.996,2146.737,,,39.997,2034.38
0.649,832.312,,,35.996,1865.649
40.995,2226.468,,,31.997,1698.118
0.503,820.909,,,27.998,1525.191
44.995,2279.398,,,23.998,1360.668
0.6,809.783,,,19.997,1226.103
48.996,2312.415,,,15.997,1108.906
0.742,797.797,,,11.998,1015.696
52.997,2338.708,,,7.997,935.772
0.847,786.758,,,3.996,870.592
55.996,2334.941,,,0.009,812.55
0.929,778.264,,,-3.996,765.831
51.997,2327.353,,,-7.997,724.262
0.846,772.827,,,-11.997,689.825
47.996,2268.613,,,-15.997,662.157
0.676,769.518,,,-19.996,635.836
43.995,2159.659,,,-23.997,613.585
0.719,766.658,,,-27.997,594.806
39.997,2034.38,,,-31.996,577.127
0.536,767.077,,,-35.996,561.154
35.996,1865.649,,,-39.997,547.259
0.493,767.056,,,-43.994,533.859
31.997,1698.118,,,-47.995,521.652
0.438,769.529,,,-51.996,510.367
27.998,1525.191,,,-55.996,500.43
0.415,772.412,,,-52.997,512.543
23.998,1360.668,,,-48.996,529.138
0.375,775.745,,,-44.996,546.829
19.997,1226.103,,,-40.996,564.679
0.328,779.952,,,-36.997,585.602
15.997,1108.906,,,-32.995,608.393
0.229,784.558,,,-28.998,633.021
11.998,1015.696,,,-24.998,661.853
0.177,790.238,,,-20.997,693.79
7.997,935.772,,,-16.997,732.639
0.124,799.451,,,-12.998,776.992
3.996,870.592,,,-8.997,829.421
0.062,807.52,,,-4.995,892.22
0.009,812.55,,,-0.998,967.211
-0.005,816.714,,,,
-3.996,765.831,,,,
-0.058,827.036,,,,
-7.997,724.262,,,,
-0.107,837.633,,,,
-11.997,689.825,,,,
-0.186,849.518,,,,
-15.997,662.157,,,,
-0.254,861.723,,,,
-19.996,635.836,,,,
-0.331,874.32,,,,
-23.997,613.585,,,,
-0.337,888.886,,,,
-27.997,594.806,,,,
-0.365,902.924,,,,
-31.996,577.127,,,,
-0.484,914.91,,,,
-35.996,561.154,,,,
-0.496,929.709,,,,
-39.997,547.259,,,,
-0.632,944.956,,,,
-43.994,533.859,,,,
-0.75,960.75,,,,
-47.995,521.652,,,,
-0.794,977.678,,,,
-51.996,510.367,,,,
-0.815,995.298,,,,
-55.996,500.43,,,,
-0.857,1011.411,,,,
-52.997,512.543,,,,
-0.682,1024.504,,,,
-48.996,529.138,,,,
-0.684,1030.987,,,,
-44.996,546.829,,,,
-0.704,1037.682,,,,
-40.996,564.679,,,,
-0.652,1038.445,,,,
-36.997,585.602,,,,
-0.529,1039.947,,,,
-32.995,608.393,,,,
-0.51,1039.932,,,,
-28.998,633.021,,,,
-0.471,1037.682,,,,
-24.998,661.853,,,,
-0.364,1035.426,,,,
-20.997,693.79,,,,
-0.285,1030.276,,,,
-16.997,732.639,,,,
-0.282,1022.907,,,,
-12.998,776.992,,,,
-0.194,1016.442,,,,
-8.997,829.421,,,,
-0.145,1007.161,,,,
-4.995,892.22,,,,
-0.074,998.116,,,,
-0.998,967.211,,,,
-0.026,986.396,,,,
