Timestamp,Resistance
0.110431001,1751.201171875
0.618592381,1751.078369141
1.113266349,1751.120727539
1.609348655,1751.192260742
2.119056702,1751.059204102
26.541229248,1750.945434570
27.636861801,1750.642822266
28.134653091,1750.846679687
28.646041870,1750.855224609
29.154178619,1750.926757812
29.662162781,1750.936401367
30.168506622,1750.846313477
30.681179047,1751.263427734
31.180984497,1751.442993164
31.691978455,1750.969726562
32.189594269,1751.457641602
32.701950073,1751.528198242
33.200786591,1751.266967773
33.709800720,1751.139892578
34.207164764,1750.789550781
34.721042633,1751.262817383
35.233482361,1751.059204102
35.747428894,1750.969604492
36.247390747,1751.201293945
36.756855011,1751.272460937
37.254241943,1751.220458984
37.760341644,1751.210449219
38.266403198,1751.068359375
38.773143768,1751.272949219
39.285499573,1751.201416016
39.797824860,1751.362915039
40.295337677,1751.192138672
40.805427551,1751.210815430
41.314674377,1751.049804687
41.825778961,1751.272827148
42.339813232,1751.201904297
42.850563049,1751.210815430
43.359054565,1751.343994141
43.869701385,1751.192260742
