Timestamp,Resistance,Timestamp,Resistance
0.108466998,47.608955383,0.321135610,103.415611267
0.778387308,47.617095947,0.991794109,103.352806091
1.475272298,47.619899750,1.687434793,103.415420532
2.130623102,47.617893219,2.342897415,103.405708313
2.784151316,47.620857239,2.997262239,103.427627563
3.438709021,47.617626190,3.651996136,103.405906677
4.091039181,47.619735718,4.303276539,103.407974243
4.743797302,47.617008209,4.956202030,103.410430908
5.394825935,47.619800568,5.606653214,103.407974243
6.045181751,47.617103577,6.258903980,103.405708313
6.697377682,47.615959167,6.911065102,103.403251648
7.350180626,47.617626190,7.563235760,103.405708313
8.004284859,47.618667603,8.218380928,103.410469055
8.654321671,47.647762299,8.867491722,103.398460388
28.441669464,32.727661133,29.147314072,103.410461426
29.590784073,47.619213104,29.802495956,103.412963867
30.243700027,47.619197845,30.455392838,103.407966614
30.893115997,47.617008209,31.105424881,103.398490906
31.544769287,47.619800568,31.756988525,103.407974243
32.196662903,47.619293213,32.409481049,103.395996094
32.849143982,47.617538452,33.062702179,103.400756836
33.503257751,47.621387482,33.715324402,103.405708313
